[[0]m7,[0]m7,[0]m7];115
[[7]7,[2]m7,[7]7];84
[[0]^7,[0]^7,[0]^7];65
[[0]6,[0]6,[0]6];44
[[0]^7,[7]7,[0]^7];42
[[7]7,[2]%7,[7]7];42
[[0]m7,[7]7,[0]m7];40
[[0]m,[0]m,[0]m];38
[[7]7,[2]7,[7]7];37
[[0]6,[7]7,[0]6];36
[[7]7,[7]7,[7]7];34
[[2]m7,[9]7,[2]m7];33
[[0]^,[0]^,[0]^];28
[[7]7,[8]7,[7]7];26
[[10]7,[5]m7,[10]7];25
[[9]7,[4]m7,[9]7];24
[[0]m6,[0]m6,[0]m6];22
[[7]7,[8]^7,[7]7];21
[[0]m,[7]7,[0]m];18
[[2]7,[2]7,[2]7];18
[[3]7,[10]m7,[3]7];17
[[8]7,[3]m7,[8]7];17
[[8]^7,[3]7,[8]^7];17
[[2]7,[9]m7,[2]7];15
[[2]7,[9]7,[2]7];14
[[2]m7,[2]m7,[2]m7];14
[[5]m7,[5]m7,[5]m7];14
[[0]7,[7]m7,[0]7];12
[[5]^7,[0]7,[5]^7];12
[[5]^7,[5]^7,[5]^7];12
[[0]m6,[7]7,[0]m6];11
[[3]^7,[10]7,[3]^7];11
[[5]m7,[0]7,[5]m7];11
[[11]7,[6]m7,[11]7];10
[[0]m,[1]7,[0]m];9
[[1]^7,[8]7,[1]^7];9
[[4]7,[11]%7,[4]7];9
[[7]7,[0]m7,[7]7];9
[[9]m7,[4]7,[9]m7];9
[[0]^,[7]7,[0]^];8
[[1]7,[2]7,[1]7];8
[[7]7,[5]^7,[7]7];8
[[0]6,[0]^7,[0]6];7
[[0]7,[0]7,[0]7];7
[[3]7,[3]7,[3]7];7
[[8]7,[9]7,[8]7];7
[[8]^7,[8]^7,[8]^7];7
[[9]7,[9]7,[9]7];7
[[9]7,[10]7,[9]7];7
[[10]7,[0]^7,[10]7];7
[[10]7,[10]7,[10]7];7
[[2]7,[3]7,[2]7];6
[[5]7,[0]m7,[5]7];6
[[7]7,[5]m7,[7]7];6
[[10]^7,[5]7,[10]^7];6
[[0]7,[1]7,[0]7];5
[[0]7,[3]7,[0]7];5
[[0]^,[1]7,[0]^];5
[[0]^7,[10]7,[0]^7];5
[[0]m,[0]m,[0]m^7];5
[[3]7,[10]^7,[3]7];5
[[4]^7,[11]7,[4]^7];5
[[5]7,[0]7,[5]7];5
[[7]7,[0]^,[7]7];5
[[7]7,[0]^7,[7]7];5
[[7]7,[5]m6,[7]7];5
[[9]7,[4]%7,[9]7];5
[[0]7,[7]7,[0]7];4
[[0]^7,[1]^7,[0]^7];4
[[0]m,[0]m,[0]m7];4
[[0]m7,[0]m7,[0]m6];4
[[0]m7,[1]7,[0]m7];4
[[0]m7,[10]7,[0]m7];4
[[1]7,[8]7,[1]7];4
[[1]^7,[1]^7,[1]^7];4
[[4]7,[11]7,[4]7];4
[[7]sus,[7]sus,[7]sus];4
[[8]7,[3]^7,[8]7];4
[[9]7,[7]7,[9]7];4
[[9]m,[4]7,[9]m];4
[[9]m7,[9]m7,[9]m7];4
[[10]7,[5]7,[10]7];4
[[10]^,[10]^,[10]^];4
[[0]6,[10]7,[0]6];3
[[0]^,[0]^,[0]^7];3
